,content,label,score
10,Football is a family of team sports that involve to varying degrees kicking a ball to score a goalUnqualified the word football normally means the form of football that is the most popular where the word is usedSports commonly called football include association football known as soccer in North America and Oceania gridiron football specifically American football or Canadian football Australian rules football rugby union and rugby league and Gaelic footballThese various forms of football share to varying extent common origins and are known as football codesThere are a number of references to traditional ancient or prehistoric ball games played in many different parts of the world,football,0.7902
11,Contemporary codes of football can be traced back to the codification of these games at English public schools during the  centuryThe expansion and cultural influence of the British Empire allowed these rules of football to spread to areas of British influence outside the directly controlled EmpireBy the end of the  century distinct regional codes were already developing Gaelic football for example deliberately incorporated the rules of local traditional football games in order to maintain their heritageIn  The Football League was founded in England becoming the first of many professional football associationsDuring the  century several of the various kinds of football grew to become some of the most popular team sports in the world,football,0.4754
12," Common elements 

The various codes of football share certain common elements and can be grouped into two main classes of football carrying codes like American football Canadian football Australian football rugby union and rugby league where the ball is moved about the field while being held in the hands or thrown and kicking codes such as Association football and Gaelic football where the ball is moved primarily with the feet and where handling is strictly limitedCommon rules among the sports include
Two teams of usually between  and  players some variations that have fewer players five or more per team are also popularA clearly defined area in which to play the gameScoring goals or points by moving the ball to an opposing teams end of the field and either into a goal area or over a lineGoals or points resulting from players putting the ball between two goalpostsThe goal or line being defended by the opposing team",football,0.872
13,"Players using only their body to move the ballIn all codes common skills include passing tackling evasion of tackles catching and kickingIn most codes there are rules restricting the movement of players offside and players scoring a goal must put the ball either under or over a crossbar between the goalposts Etymology 

There are conflicting explanations of the origin of the word footballIt is widely assumed that the word football or the phrase foot ball refers to the action of the foot kicking a ballThere is an alternative explanation which is that football originally referred to a variety of games in medieval Europe which were played on foot",football,-0.4404
14,"There is no conclusive evidence for either explanation Early history 


 Ancient games 


 Ancient China 

The Chinese competitive game cuju 蹴鞠 resembles modern association football soccer descriptions appear in a military manual dated to the second and third centuries BCIt existed during the Han dynasty and possibly the Qin dynasty in the second and third centuries BCThe Japanese version of cuju is kemari 蹴鞠 and was developed during the Asuka periodThis is known to have been played within the Japanese imperial court in Kyoto from about  AD",football,0.2263
15,"In kemari several people stand in a circle and kick a ball to each other trying not to let the ball drop to the ground much like keepie uppie Ancient Greece and Rome 
The Ancient Greeks and Romans are known to have played many ball games some of which involved the use of the feetThe Roman game harpastum is believed to have been adapted from a Greek team game known as ἐπίσκυρος Episkyros or φαινίνδα phaininda which is mentioned by a Greek playwright Antiphanes  BC and later referred to by the Christian theologian Clement of Alexandria c   c  ADThese games appear to have resembled rugby footballThe Roman politician Cicero  BC describes the case of a man who was killed whilst having a shave when a ball was kicked into a barbers shop",football,-0.4019
16,"Roman ball games already knew the airfilled ball the follisEpiskyros is recognised as an early form of football by FIFA Native Americans 
There are a number of references to traditional ancient or prehistoric ball games played by indigenous peoples in many different parts of the worldFor example in  men from a ship commanded by an English explorer named John Davis went ashore to play a form of football with Inuit in GreenlandThere are later accounts of an Inuit game played on ice called Aqsaqtuk",football,0.7579
17,Each match began with two teams facing each other in parallel lines before attempting to kick the ball through each other teams line and then at a goalIn  William Strachey a colonist at Jamestown Virginia recorded a game played by Native Americans called PahsahemanPasuckuakohowog a game similar to modernday association football played amongst Amerindians was also reported as early as the  centuryGames played in Mesoamerica with rubber balls by indigenous peoples are also welldocumented as existing since before this time but these had more similarities to basketball or volleyball and no links have been found between such games and modern football sportsNortheastern American Indians especially the Iroquois Confederation played a game which made use of net racquets to throw and catch a small ball however although it is a ballgoal foot game lacrosse as its modern descendant is called is likewise not usually classed as a form of football,football,0.5267
18," Oceania 
On the Australian continent several tribes of indigenous people played kicking and catching games with stuffed balls which have been generalised by historians as Marn Grook Djab Wurrung for game ballThe earliest historical account is an anecdote from the  book by Robert BroughSmyth The Aborigines of Victoria in which a man called Richard Thomas is quoted as saying in about  in Victoria Australia that he had witnessed Aboriginal people playing the game Mr Thomas describes how the foremost player will drop kick a ball made from the skin of a possum and how other players leap into the air in order to catch itSome historians have theorised that Marn Grook was one of the origins of Australian rules footballThe Māori in New Zealand played a game called Kiorahi consisting of teams of seven players play on a circular field divided into zones and score points by touching the pou boundary markers and hitting a central tupu or targetThese games and others may well go far back into antiquityHowever the main sources of modern football codes appear to lie in western Europe especially England",football,0.7906
19," Turkic peoples 
Mahmud alKashgari in his Dīwān Lughāt alTurk described a game called tepuk among Turks in Central AsiaIn the game people try to attack each others castle by kicking a ball made of sheep leather Medieval and early modern Europe 

The Middle Ages saw a huge rise in popularity of annual Shrovetide football matches throughout Europe particularly in EnglandAn early reference to a ball game played in Britain comes from the  Historia Brittonum attributed to Nennius which describes a party of boys  playing at ballReferences to a ball game played in northern France known as La Soule or Choule in which the ball was propelled by hands feet and sticks date from the  century",football,0.8625
20,Pizza Italian ˈpittsa Neapolitan ˈpittsə is a dish of  Italian origin consisting of a usually round flat base of leavened wheatbased dough topped with tomatoes cheese and often various other ingredients such as various types of sausage anchovies mushrooms onions olives vegetables meat ham etc which is then baked at a high temperature traditionally in a woodfired ovenA small pizza is sometimes called a pizzettaA person who makes pizza is known as a pizzaioloIn Italy pizza served in a restaurant is presented unsliced and is eaten with the use of a knife and fork,pizza,0.0
21,In casual settings however it is cut into wedges to be eaten while held in the handThe term pizza was first recorded in the  century in a Latin manuscript from the Southern Italian town of Gaeta in Lazio on the border with CampaniaModern pizza was invented in Naples and the dish and its variants have since become popular in many countriesIt has become one of the most popular foods in the world and a common fast food item in Europe North America and Australasia available at pizzerias restaurants specializing in pizza  restaurants offering Mediterranean cuisine via pizza delivery and as street foodVarious food companies sell readybaked pizzas which may be frozen in grocery stores to be reheated in a home oven,pizza,0.6486
22,"In  the world pizza market was  billion and in the US it was  billion spread over  pizzeriasOverall  of the US population aged  years and over consumed pizza on any given dayThe Associazione Verace Pizza Napoletana litTrue Neapolitan Pizza Association is a nonprofit organization founded in  with headquarters in Naples that aims to promote traditional Neapolitan pizzaIn  upon Italys request Neapolitan pizza was registered with the European Union as a Traditional Speciality Guaranteed dish and in  the art of its making was included on UNESCOs list of intangible cultural heritageRaffaele Esposito is often considered to be the father of modern pizza Etymology 

The word pizza first appeared in a Latin text from the town of Gaeta then still part of the Byzantine Empire in  AD the text states that a tenant of certain property is to give the bishop of Gaeta duodecim pizze twelve pizzas every Christmas Day and another twelve every Easter SundaySuggested etymologies include

Byzantine Greek and Late Latin pitta  pizza cf",pizza,0.5719
23,Modern Greek pitta bread and the Apulia and Calabrian then Byzantine Italy pitta a round flat bread baked in the oven at high temperature sometimes with toppingsThe word pitta can in turn be traced to either Ancient Greek πικτή pikte fermented pastry which in Latin became picta or Ancient Greek πίσσα pissa Attic πίττα pitta pitch or πήτεα pḗtea bran πητίτης pētítēs bran breadThe Etymological Dictionary of the Italian Language explains it as coming from dialectal pinza clamp as in modern Italian pinze pliers pincers tongs forcepsTheir origin is from Latin pinsere to pound stampThe Lombardic word bizzo or pizzo meaning mouthful related to the English words bit and bite which was brought to Italy in the middle of the  century AD by the invading Lombards,pizza,0.0
24,"The shift bp could be explained by the High German consonant shift and it has been noted in this connection that in German the word Imbiss means snack History 

Foods similar to pizza have been made since the Neolithic AgeRecords of people adding other ingredients to bread to make it more flavorful can be found throughout ancient historyIn the  century BC the Persian soldiers of the Achaemenid Empire during the rule of Darius the Great baked flatbreads with cheese and dates on top of their battle shields and the ancient Greeks supplemented their bread with oils herbs and cheeseAn early reference to a pizzalike food occurs in the Aeneid when Celaeno queen of the Harpies foretells that the Trojans would not find peace until they are forced by hunger to eat their tables Book III",pizza,-0.5499
25,In Book VII Aeneas and his men are served a meal that includes round cakes like pita bread topped with cooked vegetablesWhen they eat the bread they realize that these are the tables prophesied by CelaenoThe first mention of the word pizza comes from a notarial document written in Latin and dating to May  AD from Gaeta demanding a payment of twelve pizzas a pork shoulder and a pork kidney on Christmas Day and  pizzas and a couple of chickens on Easter DayModern pizza evolved from similar flatbread dishes in Naples Italy in the  or early  centuryBefore that time flatbread was often topped with ingredients such as garlic salt lard and cheese,pizza,-0.4215
26,It is uncertain when tomatoes were first added and there are many conflicting claimsUntil about  pizza was sold from openair stands and out of pizza bakeriesA popular contemporary legend holds that the archetypal pizza pizza Margherita was invented in  when the Royal Palace of Capodimonte commissioned the Neapolitan pizzaiolo pizza maker Raffaele Esposito to create a pizza in honor of the visiting Queen MargheritaOf the three different pizzas he created the Queen strongly preferred a pizza swathed in the colors of the Italian flag  red tomato green basil and white mozzarellaSupposedly this kind of pizza was then named after the Queen although later research cast doubt on this legend,pizza,0.5859
27,"An official letter of recognition from the Queens head of service remains on display in Espositos shop now called the Pizzeria BrandiPizza was taken to the United States by Italian immigrants in the late nineteenth century and first appeared in areas where they concentratedThe countrys first pizzeria Lombardis opened in New York City in  World War II veterans returning from the Italian Campaign who were introduced to Italys native cuisine proved a ready market for pizza in particular Preparation 
Pizza is sold fresh or frozen and whole or in portionsize slicesMethods have been developed to overcome challenges such as preventing the sauce from combining with the dough and producing a crust that can be frozen and reheated without becoming rigid",pizza,0.5057
28,"There are frozen pizzas with raw ingredients and selfrising crustsAnother form of pizza is available from take and bake pizzeriasThis pizza is assembled in the store then sold unbaked to customers to bake in their own ovensSome grocery stores sell fresh dough along with sauce and basic ingredients to assemble at home before baking in an ovenPizza preparation
		
		
		
		
		


 Baking 
In restaurants pizza can be baked in an oven with fire bricks above the heat source an electric deck oven a conveyor belt oven or in traditional style in a wood or coalfired brick oven",pizza,-0.0258
29,The pizza is slid into the oven on a long paddle called a peel and baked directly on hot bricks a screen a round metal grate typically aluminum or whatever the oven surface isBefore use a peel is typically  sprinkled with cornmeal to allow the pizza to easily slide on and off itWhen made at home a pizza can be baked on a pizza stone in a regular oven to reproduce some of the heating effect of a brick ovenCooking directly on a metal surface results in too rapid heat transfer to the crust burning itSome home chefs use a woodfired pizza oven usually installed outdoors,pizza,0.5106
